[2025-01-16 21:47:48,831]root INFO Logger initialized.
[2025-01-16 21:54:24,875]root INFO Logger initialized.
[2025-01-16 21:54:24,876]root INFO File created.
[2025-01-16 21:54:39,517]root INFO Logger initialized.
[2025-01-16 21:54:39,517]root INFO File created.
[2025-01-16 21:55:28,058]root INFO Logger initialized.
[2025-01-16 21:55:28,058]root INFO File created.
[2025-01-16 21:55:29,514]root INFO Reading JSON data.
[2025-01-16 21:55:29,516]root INFO JSON data read.
[2025-01-16 21:56:18,183]root INFO Logger initialized.
[2025-01-16 21:56:18,183]root INFO File created.
[2025-01-16 21:56:50,412]root INFO Logger initialized.
[2025-01-16 21:56:50,412]root INFO File created.
[2025-01-16 21:57:16,970]root INFO Logger initialized.
[2025-01-16 21:57:16,982]root INFO File created.
[2025-01-16 21:57:20,422]root INFO Reading JSON data.
[2025-01-16 21:57:20,424]root INFO JSON data read.
[2025-01-16 21:57:20,424]root INFO Reading JSON data.
[2025-01-16 21:57:20,426]root INFO JSON data read.
[2025-01-16 21:57:20,428]root INFO Reading JSON data.
[2025-01-16 21:57:20,431]root INFO JSON data read.
[2025-01-16 21:57:20,433]root INFO Reading JSON data.
[2025-01-16 21:57:20,435]root INFO JSON data read.
[2025-01-16 21:57:20,437]root INFO Reading JSON data.
[2025-01-16 21:57:20,438]root INFO JSON data read.
[2025-01-16 21:57:20,440]root INFO Reading JSON data.
[2025-01-16 21:57:20,442]root INFO JSON data read.
[2025-01-16 21:57:20,445]root INFO Reading JSON data.
[2025-01-16 21:57:20,447]root INFO JSON data read.
[2025-01-16 21:57:20,450]root INFO Reading JSON data.
[2025-01-16 21:57:20,452]root INFO JSON data read.
[2025-01-16 21:57:20,454]root INFO Reading JSON data.
[2025-01-16 21:57:20,456]root INFO JSON data read.
[2025-01-16 21:57:20,457]root INFO Reading JSON data.
[2025-01-16 21:57:20,461]root INFO JSON data read.
[2025-01-16 21:57:20,463]root INFO Reading JSON data.
[2025-01-16 21:57:20,465]root INFO JSON data read.
[2025-01-16 21:57:20,467]root INFO Reading JSON data.
[2025-01-16 21:57:20,469]root INFO JSON data read.
[2025-01-16 21:57:20,471]root INFO Reading JSON data.
[2025-01-16 21:57:20,473]root INFO JSON data read.
[2025-01-16 21:57:20,475]root INFO Reading JSON data.
[2025-01-16 21:57:20,478]root INFO JSON data read.
[2025-01-16 21:57:20,480]root INFO Reading JSON data.
[2025-01-16 21:57:20,482]root INFO JSON data read.
[2025-01-16 21:57:20,484]root INFO Reading JSON data.
[2025-01-16 21:57:20,486]root INFO JSON data read.
[2025-01-16 21:57:20,488]root INFO Reading JSON data.
[2025-01-16 21:57:20,490]root INFO JSON data read.
[2025-01-16 21:57:20,492]root INFO Reading JSON data.
[2025-01-16 21:57:20,495]root INFO JSON data read.
[2025-01-16 21:57:20,497]root INFO Reading JSON data.
[2025-01-16 21:57:20,500]root INFO JSON data read.
[2025-01-16 21:57:20,502]root INFO Reading JSON data.
[2025-01-16 21:57:20,504]root INFO JSON data read.
[2025-01-16 21:57:20,506]root INFO Reading JSON data.
[2025-01-16 21:57:20,507]root INFO JSON data read.
[2025-01-16 21:57:20,509]root INFO Reading JSON data.
[2025-01-16 21:57:20,512]root INFO JSON data read.
[2025-01-16 21:57:20,514]root INFO Reading JSON data.
[2025-01-16 21:57:20,516]root INFO JSON data read.
[2025-01-16 21:57:20,518]root INFO Reading JSON data.
[2025-01-16 21:57:20,520]root INFO JSON data read.
[2025-01-16 21:57:20,523]root INFO Reading JSON data.
[2025-01-16 21:57:20,526]root INFO JSON data read.
[2025-01-16 21:57:20,527]root INFO Reading JSON data.
[2025-01-16 21:57:20,530]root INFO JSON data read.
[2025-01-16 21:57:20,532]root INFO Reading JSON data.
[2025-01-16 21:57:20,534]root INFO JSON data read.
[2025-01-16 21:57:20,535]root INFO Reading JSON data.
[2025-01-16 21:57:20,538]root INFO JSON data read.
[2025-01-16 21:57:20,540]root INFO Reading JSON data.
[2025-01-16 21:57:20,542]root INFO JSON data read.
[2025-01-16 21:57:20,544]root INFO Reading JSON data.
[2025-01-16 21:57:20,546]root INFO JSON data read.
[2025-01-16 21:57:20,548]root INFO Reading JSON data.
[2025-01-16 21:57:20,551]root INFO JSON data read.
[2025-01-16 21:57:20,553]root INFO Reading JSON data.
[2025-01-16 21:57:20,555]root INFO JSON data read.
[2025-01-16 21:57:20,556]root INFO Reading JSON data.
[2025-01-16 21:57:20,559]root INFO JSON data read.
[2025-01-16 21:57:20,561]root INFO Reading JSON data.
[2025-01-16 21:57:20,563]root INFO JSON data read.
[2025-01-16 21:57:20,565]root INFO Reading JSON data.
[2025-01-16 21:57:20,567]root INFO JSON data read.
[2025-01-16 21:57:20,569]root INFO Reading JSON data.
[2025-01-16 21:57:20,571]root INFO JSON data read.
[2025-01-16 21:57:20,573]root INFO Reading JSON data.
[2025-01-16 21:57:20,575]root INFO JSON data read.
[2025-01-16 21:57:20,577]root INFO Reading JSON data.
[2025-01-16 21:57:20,580]root INFO JSON data read.
[2025-01-16 21:57:20,582]root INFO Reading JSON data.
[2025-01-16 21:57:20,583]root INFO JSON data read.
[2025-01-16 21:57:20,585]root INFO Reading JSON data.
[2025-01-16 21:57:20,588]root INFO JSON data read.
[2025-01-16 21:57:20,589]root INFO Reading JSON data.
[2025-01-16 21:57:20,591]root INFO JSON data read.
[2025-01-16 21:57:20,593]root INFO Reading JSON data.
[2025-01-16 21:57:20,596]root INFO JSON data read.
[2025-01-16 21:57:20,598]root INFO Reading JSON data.
[2025-01-16 21:57:20,599]root INFO JSON data read.
[2025-01-16 21:57:20,601]root INFO Reading JSON data.
[2025-01-16 21:57:20,603]root INFO JSON data read.
[2025-01-16 21:57:20,605]root INFO Reading JSON data.
[2025-01-16 21:57:20,607]root INFO JSON data read.
[2025-01-16 21:57:20,608]root INFO Reading JSON data.
[2025-01-16 21:57:20,611]root INFO JSON data read.
[2025-01-16 21:57:20,613]root INFO Reading JSON data.
[2025-01-16 21:57:20,615]root INFO JSON data read.
[2025-01-16 21:57:20,617]root INFO Reading JSON data.
[2025-01-16 21:57:20,619]root INFO JSON data read.
[2025-01-16 21:57:20,620]root INFO Reading JSON data.
[2025-01-16 21:57:20,622]root INFO JSON data read.
[2025-01-16 21:57:20,624]root INFO Reading JSON data.
[2025-01-16 21:57:20,625]root INFO JSON data read.
[2025-01-16 21:57:20,628]root INFO Reading JSON data.
[2025-01-16 21:57:20,630]root INFO JSON data read.
[2025-01-16 21:57:20,633]root INFO Reading JSON data.
[2025-01-16 21:57:20,635]root INFO JSON data read.
[2025-01-16 21:57:20,637]root INFO Reading JSON data.
[2025-01-16 21:57:20,639]root INFO JSON data read.
[2025-01-16 21:57:20,640]root INFO Reading JSON data.
[2025-01-16 21:57:20,642]root INFO JSON data read.
[2025-01-16 21:57:20,654]root INFO Reading JSON data.
[2025-01-16 21:57:20,656]root INFO JSON data read.
[2025-01-16 21:58:04,921]root INFO Reading JSON data.
[2025-01-16 21:58:04,923]root INFO JSON data read.
